order_number,booked_at,click_id,state,price_amount,price_currency,profit_amount,profit_currency
40825231,2025-09-03T12:56:46.375Z,3165212595674679328,cancelled,7644,rub,191.1,rub
40823231,2025-09-03T04:25:07.075Z,3164954514093443136,cancelled,70894,rub,0,rub
40823111,2025-09-03T02:57:33.423Z,3164909039894128768,paid,27160,rub,1222.2,rub
40824451,2025-09-03T09:56:26.668Z,3165121866948675584,paid,11829,rub,295.73,rub
40827369,2025-09-03T21:30:15.132Z,3165469461002803712,paid,38316,rub,1724.22,rub
40823649,2025-09-03T06:55:04.343Z,3165030144216163744,paid,2892,rub,72.3,rub
40824672,2025-09-03T10:47:37.122Z,3165141348318119136,paid,17714,rub,442.85,rub
40825446,2025-09-03T13:44:30.811Z,3165235125220955552,paid,24673,rub,1110.28,rub
40824591,2025-09-03T10:27:01.975Z,3165137198060483264,cancelled,7644,rub,191.1,rub
40827475,2025-09-03T22:41:57.969Z,3165504135028943072,cancelled,5654,rub,141.35,rub
40823408,2025-09-03T05:37:18.189Z,3164990987433800800,cancelled,27753,rub,693.83,rub
40825638,2025-09-03T14:26:12.711Z,3165256855756821856,paid,24599,rub,614.98,rub
40825763,2025-09-03T14:52:03.381Z,3165268523122135616,paid,22358,rub,558.95,rub
40823199,2025-09-03T03:59:18.704Z,3164941654326481344,paid,5316,rub,132.9,rub
40825785,2025-09-03T14:59:38.751Z,3165273673425457728,paid,11353,rub,283.82,rub
40826131,2025-09-03T16:18:22.650Z,3165311777746612160,cancelled,36800,rub,920,rub
40824483,2025-09-03T10:02:44.095Z,3165124068639508480,cancelled,11330,rub,0,rub
40823500,2025-09-03T06:07:44.131Z,3165004103435246112,paid,84648,rub,2116.2,rub
40826625,2025-09-03T18:05:27.751Z,3165367585712427168,paid,47156,rub,1178.9,rub
40826050,2025-09-03T16:05:41.900Z,3165306952843486240,cancelled,11846,rub,296.15,rub
40827002,2025-09-03T19:19:32.944Z,3165405171995831296,cancelled,12533,rub,313.33,rub
40824390,2025-09-03T09:43:35.456Z,3165114810914768096,paid,150762,rub,6784.29,rub
40823289,2025-09-03T04:56:09.303Z,3164968668688065888,paid,7572,rub,189.3,rub
40823458,2025-09-03T05:54:09.587Z,3164998471271707744,paid,63965,rub,2878.42,rub
40825932,2025-09-03T15:40:09.493Z,3165294753628344480,cancelled,22476,rub,561.9,rub
40826225,2025-09-03T16:45:39.117Z,3165327657227343200,paid,22596,rub,1016.82,rub
40826796,2025-09-03T18:36:35.569Z,3165382607042146240,paid,33465,rub,1505.92,rub
40827026,2025-09-03T19:27:12.310Z,3165405850791628512,paid,12790,rub,575.55,rub
40823324,2025-09-03T05:08:49.933Z,3164976490747498944,cancelled,14365,rub,359.13,rub
40823187,2025-09-03T03:54:54.018Z,3164939829896423584,cancelled,3852,rub,0,rub
40825492,2025-09-03T13:56:21.209Z,3165242237886400544,paid,14705,rub,661.73,rub
40824409,2025-09-03T09:47:07.774Z,3165115937781792928,paid,29182,rub,729.55,rub
40826733,2025-09-03T18:23:46.290Z,3165361882203183840,paid,12856,rub,321.4,rub
40826960,2025-09-03T19:07:15.735Z,3165398641706395200,paid,69044,rub,3106.98,rub
40827490,2025-09-03T22:56:46.893Z,3165512441260812512,cancelled,12082,rub,302.05,rub
40827316,2025-09-03T21:04:29.457Z,3165456834209900096,cancelled,13892,rub,0,rub
40827137,2025-09-03T19:56:10.506Z,3165423527013365184,cancelled,60670,rub,1516.75,rub
40824540,2025-09-03T10:17:32.531Z,3165132477911166912,cancelled,7644,rub,191.1,rub
40826756,2025-09-03T18:27:15.253Z,3165376421231120096,paid,18982,rub,474.55,rub
40824331,2025-09-03T09:28:09.411Z,3165107091491340448,cancelled,47609,rub,1190.23,rub
40823803,2025-09-03T07:34:59.818Z,3165048054104616896,cancelled,84220,rub,2105.5,rub
40826029,2025-09-03T16:01:40.670Z,3165304783088084000,cancelled,11846,rub,296.15,rub
40823512,2025-09-03T06:11:01.399Z,3165008385207261728,cancelled,9864,rub,246.6,rub
40823990,2025-09-03T08:19:24.271Z,3165071702393167584,cancelled,14388,rub,359.7,rub
40826774,2025-09-03T18:33:11.396Z,3165379792552572352,cancelled,21915,rub,547.88,rub
40825863,2025-09-03T15:19:22.197Z,3165283373867295776,paid,12831,rub,320.78,rub
40825663,2025-09-03T14:34:08.705Z,3165257536117641792,paid,51906,rub,2335.77,rub
40825847,2025-09-03T15:14:06.051Z,3165280890058265952,paid,11093,rub,499.19,rub
40824501,2025-09-03T10:06:25.971Z,3165124931231298176,cancelled,16858,rub,421.45,rub
40824149,2025-09-03T08:55:12.237Z,3165089130070220512,paid,20910,rub,522.75,rub
40823229,2025-09-03T04:22:50.909Z,3164950331551933856,paid,9781,rub,244.53,rub
40824643,2025-09-03T10:40:45.401Z,3165141959077039232,paid,14404,rub,360.1,rub
